Timestamp,Have you ever posted a preprint?,Which most closely describes your current position?,Where do you primarily work?,On what preprint server did you post your most recent preprint?*,How long ago did you post your last preprint?,What discipline does this preprint fall under? Please check all that apply.,Did you choose the license for this preprint?,Why didn't you choose the license for this preprint?,What license was the preprint under?,What license did you choose for this preprint?,What factors were important to you in selecting this license for your preprint? [Preprint server default or recommended license],What factors were important to you in selecting this license for your preprint? [How other preprints have been licensed (on the server or in your field)],What factors were important to you in selecting this license for your preprint? [Journal policies or recommendations],What factors were important to you in selecting this license for your preprint? [Funder policies or recommendations],What factors were important to you in selecting this license for your preprint? [Library or university recommendations/resources],"What factors were important to you in selecting this license for your preprint? [Other recommendations/resources (not journal, funder, or university)]",What factors were important to you in selecting this license for your preprint? [Coauthor wishes],What factors were important to you in selecting this license for your preprint? [Potential reuse of the preprint],"If factors not listed above were important to you, please explain below.","If and when this preprint is published at your chosen journal, what do you expect the license will be?",What factors are important to you in selecting this license for your published paper? [Journal default or recommended license],What factors are important to you in selecting this license for your published paper? [How other papers have been licensed (in the journal or your field)],What factors are important to you in selecting this license for your published paper? [Additional fees for certain licenses],What factors are important to you in selecting this license for your published paper? [Funder policies or recommendations],What factors are important to you in selecting this license for your published paper? [Library or university recommendations/resources],"What factors are important to you in selecting this license for your published paper? [Other recommendations/resources (not journal, funder, or university)]",What factors are important to you in selecting this license for your published paper? [Coauthor wishes],What factors are important to you in selecting this license for your published paper? [Potential reuse of the paper],"If factors not listed above were important to you, please explain below.","If you expect the license of the final version will be different from the license you selected for the preprint, please explain the difference in your choices.","What would you like others to be able to do with your preprint, without having to ask for your permission? Assume, unless noted, that your work would be attributed to you and your co-authors.",Do you have any other comments regarding preprint licensing?
2/17/2018 20:05:55,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,Yes,,,All rights reserved or standard arXiv license,Not at all important,Not at all important,Very important,Somewhat important,Not at all important,Not at all important,Somewhat important,Somewhat important,,"No creative commons license (default for Nature, Science, etc)",Somewhat important,Not at all important,Very important,Very important,Not at all important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/17/2018 20:57:32,Yes,Postdoc,North America,bioRxiv,Within the last month,Neuroscience,Yes,,,All rights reserved or standard arXiv license,Don't know,Don't know,Don't know,Don't know,Don't know,Somewhat important,Don't know,Somewhat important,Did not know the other licenses and wanted to be save,"No creative commons license (default for Nature, Science, etc)",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 21:08:32,Yes,Faculty member,North America,bioRxiv,1-6 months ago,"Biology, Computer Science",Yes,,,CC BY,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 22:40:07,Yes,Faculty member,North America,bioRxiv,Within the last month,"Biology, Chemistry",No,Another author made this choice,CC BY-NC-ND,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 22:50:19,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2018 0:21:11,Yes,Graduate Student,North America,bioRxiv,Within the last month,Biology,No,The preprint server offered only one,CC BY-NC-ND,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/18/2018 9:06:18,Yes,Postdoc,Europe,EarthArxiv,1-6 months ago,Earth Sciences,Yes,,,Don't know,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Translate the preprint into another language (e.g. Spanish)",
2/18/2018 12:22:02,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2018 17:22:08,Yes,Postdoc,Europe,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC-ND,Not at all important,Very important,Don't know,Not at all important,Not at all important,Don't know,Very important,Somewhat important,,"No creative commons license (default for Nature, Science, etc)",Very important,Very important,Very important,Not at all important,Not at all important,Not at all important,Very important,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/19/2018 3:47:56,Yes,Postdoc,Europe,bioRxiv,6-12 months ago,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",
2/19/2018 4:26:53,Yes,Editor,Europe,bioRxiv,6-12 months ago,Science Communication,Yes,,,CC BY,Not at all important,Not at all important,Somewhat important,Not at all important,Not at all important,Very important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Very important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/19/2018 8:00:06,Yes,Funder,Europe,bioRxiv,6-12 months ago,Computer Science,Yes,,,CC BY,Not at all important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Don't know,Somewhat important,Not at all important,Don't know,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/19/2018 12:07:57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2018 13:04:27,Yes,Faculty member,North America,bioRxiv,Over 12 months ago,Biology,Yes,,,Don't know,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not at all important,Very important,Very important,,Don't know,Somewhat important,Somewhat important,Somewhat important,Very important,Not at all important,Don't know,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Translate the preprint into another language (e.g. Spanish)",
2/19/2018 15:36:27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2018 15:43:36,Yes,Postdoc,Europe,PeerJ Preprints,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Don't know,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)","People are dumb and make wrong choices with good intentions, but misinformed all the while. Accept that and guide them towards the best choices whilst allowing them to choose something different if they can reasonably justify it."
2/19/2018 15:52:42,Yes,Faculty member,Europe,PeerJ Preprints,Over 12 months ago,Biology,No,"Not sure - think the PeerJ server only offers one, but would need to check!",CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish), As long as the source is attributed, any use/re-use is perfectly fine",
2/19/2018 15:56:03,Yes,Faculty member,North America,bioRxiv,6-12 months ago,"Biology, Biogeochemistry",Yes,,,CC BY-NC,Very important,Somewhat important,Very important,Not at all important,Not at all important,Not at all important,Very important,Don't know,,"No creative commons license (default for Nature, Science, etc)",Very important,Don't know,Very important,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/20/2018 14:18:18,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC-ND,Somewhat important,Somewhat important,Very important,Don't know,Don't know,Somewhat important,Somewhat important,Not at all important,I don't know what the downsides are of choosing CC-BY.,Don't know,Very important,Somewhat important,Very important,Very important,Don't know,Don't know,Somewhat important,Not at all important,,I will choose a more permissive license if the journal allows.,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)","I think most people, like me, don't completely understand the differences between different licenses, or how a preprint license impacts the journal license."
2/20/2018 18:43:28,Yes,Postdoc,Europe,arXiv,1-6 months ago,Physics,Yes,,,All rights reserved or standard arXiv license,Very important,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Very important,,Don't know,Very important,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/20/2018 19:37:59,Yes,Postdoc,North America,EarthArXiv,Within the last month,Earth Science,Yes,,,CC BY,Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,Don't know,Very important,Somewhat important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,"I don't know enough about the options and got confused when I started researching them on Wikipedia, so I just went with the defaults...","Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/22/2018 12:24:17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2018 4:53:52,Yes,Staff scientist,Asia,AgriXiv,6-12 months ago,Agriculture,Yes,,,CC BY,Very important,Very important,Very important,Very important,Very important,Not at all important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/23/2018 5:35:18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2018 6:49:50,Yes,Undergraduate,South America,ResearchGate ,Over 12 months ago,Biology,No,The preprint server offered only one,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper and share it with others, Modify my paper and publish it elsewhere, with my contributions appropriately credited",
2/23/2018 12:30:09,Yes,Graduate Student,Europe,arXiv,6-12 months ago,"Mathematics, Computer Science",Yes,,,All rights reserved or standard arXiv license,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,"No creative commons license (default for Nature, Science, etc)",Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,Publisher rules,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/23/2018 16:08:43,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2018 18:08:03,Yes,Faculty member,North America,Github,Within the last month,"Biology, Physics",Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Very important,"I want my work to be useful (liberally licensed), but I want it clear that I should be cited when my work is useful.","CC BY (default for PLOS, BMC, etc)",Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish), I've got nothing against for-profit use of my work, but it would be strange for someone to sell copies of my paper, unmodified, given that it's freely available.",Keep up the good work! You people are awesome.
2/24/2018 19:21:22,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2018 15:45:36,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,CC BY-NC-ND,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/25/2018 17:30:53,Yes,Faculty member,Europe,bioRxiv,Within the last month,Biology,Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Very important,Very important,Not at all important,Not at all important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/26/2018 16:55:53,Yes,Faculty member,North America,bioRxiv,Within the last month,Microbiology ,Yes,,,CC BY,Very important,Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,Don't know,Very important,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,Possibly. See the preprint as an open version of the published manuscript ,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/26/2018 17:09:06,Yes,Postdoc,North America,bioRxiv,1-6 months ago,"Biology, Chemistry",Yes,,,CC BY-NC,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Not at all important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 0:04:39,Yes,Postdoc,Europe,bioRxiv,Over 12 months ago,"Biology, Computer Science",Yes,,,All rights reserved or standard arXiv license,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,Don't know,Not at all important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,,Did not thinker about it before ,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 9:20:46,Yes,Postdoc,Europe,bioRxiv,6-12 months ago,"Biology, Physics, Mathematics",Yes,,,Don't know,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,Very important,,Don't know,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/27/2018 12:34:34,Yes,Graduate Student,North America,SocArXiv,Within the last month,Social Sciences,Yes,,,CC BY,Somewhat important,Don't know,Don't know,Don't know,Don't know,Very important,Don't know,Don't know,,"No creative commons license (default for Nature, Science, etc)",Very important,Somewhat important,Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/27/2018 12:34:39,Yes,Staff scientist,North America,bioRxiv,Within the last month,"Biology, Computer Science",Yes,,,CC BY,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Very important,Somewhat important,Not at all important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 12:35:47,Yes,Postdoc,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC,Somewhat important,Somewhat important,Very important,Not at all important,Not at all important,Not at all important,Very important,Very important,,Don't know,Very important,Not at all important,Very important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,,In most cases entirely up to the journal/publisher,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/27/2018 12:37:08,Yes,Graduate Student,North America,SSRN,1-6 months ago,Computer Science,Yes,,,Don't know,Very important,Very important,Not at all important,Somewhat important,Somewhat important,Don't know,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/27/2018 12:40:51,Yes,Staff scientist,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC-ND,Not at all important,Not at all important,Not at all important,Don't know,Not at all important,Not at all important,Very important,Very important,,Don't know,Very important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 12:46:41,Yes,Postdoc,North America,bioRxiv,Over 12 months ago,"Biology, Computer Science",No,Another author made this choice,CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 12:47:17,Yes,Faculty member,North America,bioRxiv,Within the last month,Biology,Yes,,,All rights reserved or standard arXiv license,Somewhat important,Somewhat important,Not at all important,Very important,Not at all important,Very important,Very important,Very important,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",viva la revolution
2/27/2018 13:15:20,Yes,Postdoc,North America,arXiv,1-6 months ago,"Biology, Physics",Yes,,,All rights reserved or standard arXiv license,Very important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 13:36:27,Yes,Postdoc,Europe,Zenodo,6-12 months ago,"Social Sciences, Information studies",Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 13:37:16,Yes,Faculty member,North America,SocArXiv,Within the last month,Social Sciences,Yes,,,CC0,Very important,Not at all important,Not at all important,Not at all important,Very important,Very important,Don't know,Very important,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 13:44:19,Yes,Faculty member,North America,SocArXiv,Within the last month,Social Sciences,Yes,,,CC0,Very important,Somewhat important,Not at all important,Not at all important,Somewhat important,Don't know,Don't know,Very important,,"No creative commons license (default for Nature, Science, etc)",Very important,Somewhat important,Very important,Very important,Somewhat important,Don't know,Very important,Somewhat important,,"I expect journals to be tyrannical cleptocracies. I accept whatever license they foist upon me because I need publications for tenure more than they need my paper. On the other hand, the raison d'etre of preprint repositories is to be open access. I wouldn't post there were it not for the CC license. ","Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
